"IDCNTRY","IDPOP","IDGRADER","IDGRADE","IDSCHOOL","IDCLASS","IDSTUD","ITSEX","ITADMINI","ITLANG_SA","ITLANG_SQ","IDBOOK","ASBR08A","ASBR08B","ASBR08C","ASBR08D","ASBR08E","ASBR08F","HOUWGT","TOTWGT","SENWGT","JKREP","JKZONE","ASRREA01","ASRREA02","ASRREA03","ASRREA04","ASRREA05","idbid"
9134,1,2,4,5001,500101,50010101,2,2,1,1,1,1,1,3,3,4,3,1.486722,22.281324,0.246146,1,70,599.31668,564.96192,577.94054,586.38209,590.1711,"RR5"
9134,1,2,4,5001,500101,50010102,2,2,1,1,31,2,1,3,3,3,3,1.486722,22.281324,0.246146,1,70,616.63231,589.4565,637.13422,625.75998,660.96872,"RR5"
9134,1,2,4,5001,500101,50010103,1,2,1,1,2,2,1,2,9,2,1,1.486722,22.281324,0.246146,1,70,548.82633,575.09346,565.41344,573.01989,578.23001,"RR5"
9134,1,2,4,5001,500101,50010104,2,2,1,1,18,1,1,3,3,4,4,1.486722,22.281324,0.246146,1,70,619.50682,669.49133,617.93248,607.48342,628.24035,"RR5"
9134,1,2,4,5001,500101,50010105,2,2,1,1,32,2,2,2,4,4,4,1.486722,22.281324,0.246146,1,70,586.44644,654.73304,621.86277,631.60186,600.91615,"RR5"
9134,1,2,4,5001,500101,50010106,2,2,1,1,10,1,1,1,3,4,4,1.486722,22.281324,0.246146,1,70,548.9577,620.0773,579.76304,561.66815,605.26958,"RR5"
9134,1,2,4,5001,500101,50010107,2,2,1,1,3,1,1,4,4,4,4,1.486722,22.281324,0.246146,1,70,617.94419,657.1133,635.89057,663.21296,658.30162,"RR5"
9134,1,2,4,5001,500101,50010108,1,2,1,1,50,1,1,4,4,4,4,1.486722,22.281324,0.246146,1,70,682.13077,652.84895,679.92206,625.76669,676.11185,"RR5"
9134,1,2,4,5001,500101,50010109,1,2,1,1,11,1,2,4,4,4,4,1.486722,22.281324,0.246146,1,70,621.94651,594.28143,583.57793,576.71367,573.58233,"RR5"
9134,1,2,4,5001,500101,50010110,2,2,1,1,12,1,1,2,3,4,4,1.486722,22.281324,0.246146,1,70,692.19733,693.67544,673.01519,640.86348,603.96448,"RR5"
9134,1,2,4,5001,500101,50010111,1,2,1,1,33,1,1,2,3,3,4,1.486722,22.281324,0.246146,1,70,567.83626,611.51148,548.36115,621.52686,581.54272,"RR5"
9134,1,2,4,5001,500101,50010113,1,2,1,1,5,1,1,3,4,4,4,1.486722,22.281324,0.246146,1,70,563.74659,596.88544,559.9422,553.02318,596.19567,"RR5"
9134,1,2,4,5001,500101,50010114,2,2,1,1,34,1,1,4,4,4,4,1.486722,22.281324,0.246146,1,70,658.56201,628.50063,640.238,642.00706,622.0722,"RR5"
9134,1,2,4,5001,500101,50010115,2,2,1,1,13,1,1,1,4,4,4,1.486722,22.281324,0.246146,1,70,647.17945,587.074,597.85036,636.45255,649.36886,"RR5"
9134,1,2,4,5001,500101,50010116,2,2,1,1,6,1,2,3,3,4,3,1.486722,22.281324,0.246146,1,70,583.66664,589.46086,552.32978,579.22686,564.94241,"RR5"
